title,description,category,image_link,read_link
WATCH: MacGYVER! Jotsholo lad electrifies homestead,"Flora Fadzai Sibanda, Chronicle Reporter SCIENTISTS in the West say recycling of e-waste must urgently be ramped up ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-7-2-200x200.jpg,https://www.chronicle.co.zw/macgyver-jotsholo-lad-electrifies-homestead/
"EVERYONE IS A SUSPECT, EVERYONE IS GUILTY: Wrong man arrested after LONE gunman senselessly attacks school kids","Raymond Jaravaza, Saturday Chronicle Correspondent YOU would expect women and school children to be the only ones who ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Empandeni-Mission-Girls-High-School-200x200.jpg,https://www.chronicle.co.zw/everyone-is-a-suspect-everyone-is-guilty-wrong-man-arrested-after-lone-gunman-senselessly-attacks-school-kids/
Former Highlanders rising star turns down Major League for art,"Ricky Zililo, Senior Sports Reporter IN 2010, Ackim Mpofu was touted as a future star for Highlanders FC and the ...",Sport,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-26-200x200.jpg,https://www.chronicle.co.zw/former-highlanders-rising-star-turns-down-major-league-for-art/
Zimbabweans find new pastime: holidaying in groups,"Flora Fadzai Sibanda, Chronicle Reporter EVERYONE gets excited when they are going on a holiday retreat. Be it to ...",Entertainment,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-18-200x200.jpg,https://www.chronicle.co.zw/zimbabweans-find-new-pastime-holidaying-in-groups/
Government fulfils housing promise: Delivers 220 units in Beitbridge,"Thupeyo Muleya, Beitbridge Bureau  The 220 houses and flats in Beitbridge Government village for staff assigned to the ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Some-of-the-220-houses-built-by-the-Government-for-Beitbridge-Border-Post-employees-that-were-handed-over-to-Local-Government-and-Public-Works-Minister-July-Moyo-yesterday-200x200.jpg,https://www.chronicle.co.zw/government-fulfils-housing-promise-delivers-220-units-in-beitbridge/
"‘HIV, the gift that I embraced from birth’","Millicent Dube, Showbiz Reporter TICHAONA Mudhobhi (33) was born with HIV and wears his status like a badge. The former ...",Entertainment,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-1-4-200x200.jpg,https://www.chronicle.co.zw/hiv-the-gift-that-i-embraced-from-birth/
Weight loss  plan births  champion  swimmer,"Brandon Moyo, Sports Reporter AT just the age of 12, a young Bulawayo boy took up swimming to lose weight, little did he ...",Sport,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-7-5-200x200.jpg,https://www.chronicle.co.zw/weight-loss-plan-births-champion-swimmer/
Community co-operation key in weeding out drug dealers,"IN yesterday’s edition, we ran a heart-rending story of a Luveve couple who have been forced to chain their 27-year-old ...",Opinion & Analysis,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/Untitled-11-10-200x200.jpg,https://www.chronicle.co.zw/community-co-operation-key-in-weeding-out-drug-dealers/
Who goes first? Gweru: a city without traffic lights,"Tinomuda Chakanyuka Green means go, and red means stop. That is the rule on the road, but when traffic lights are down, ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/Untitled-4-2-200x200.jpg,https://www.chronicle.co.zw/who-goes-first-gweru-a-city-without-traffic-lights/
"Curiosa, curiosa, hooray","Stephen Mpofu, Perspective Yes, curiosa plus – but book pirates in this country hug themselves with glee as they ...",Opinion & Analysis,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/03/File-picture-Vendors-sell-pirated-books-in-Bulawayo-central-business-centre-200x200.jpg,https://www.chronicle.co.zw/curiosa-curiosa-hooray/
